image_name| comment_number| comment|Translated_Comment
5476674072.jpg| 0| Two men in a bakery , one in a black cap and one in a white cap , are rolling dough out on a wooden table .|Талх нарийн боовны хоёр эрэгтэй, нэг нь хар малгай, нэг нь цагаан малгай, цагаан малгайтай, зуурсан гурилан дээр зуурсан гурилан дээр зуурсан гурилан дээр гулсаж байна.
3020423842.jpg| 1| A man in a blue shirt leans on a wall beside a road with a blue van and red car with water in the background .|
3628103548.jpg| 1| A woman singing and playing an acoustic guitar and three people accompanying her .|Акустик гитар, түүнтэй хамт гурван хүн дагалддаг.
4042758072.jpg| 4| A boy in a costume sits across from a man smiling .|Хувцасных нь хөвж буй хүү хүн инээмсэглэдэг.
2457052334.jpg| 2| a person climbing a large rock with another person on the ground helping|
2339516180.jpg| 1| This man with three dogs takes his route along the tree-lined street .|Гурван ноходтой гурван нохой нь Модны доторлогоотой гудамжаар замаа авдаг.
401405215.jpg| 1| A child is blowing bubbles on a beach at sunset on a warm , clear day .|Хүүхэд нар жаргах үед наран шарлагын газар нь наран шарлагын газар нь дулаан, цэвэр, өдөржингөө далайн эрэг дээр үлээж байна.
4089335666.jpg| 2| A muslim woman holding balloons at an islamic event|Исламын үйл явдлын үеэр бөмбөлгүүдийг барьж буй муслим эмэгтэй
4804599874.jpg| 4| People are gathered at a table to enjoy drinks .|Хүмүүс ундаа уухаар ширээн дээр цуглардаг.
4695983839.jpg| 4| A man is playing shot put with a skirt .|Нэгэн хүн банзал өмссөн тоглож байна.
218225539.jpg| 1| A man jumps toward a floating device in a lake as another man watches .|Нэг хүн нууранд хөвөгч төхөөрөмж рүү үсэрч өөр хүн цагийг хардаг.
4473826637.jpg| 0| A man and a woman are walking on a street at the top of a hill .|Эрэгтэй, эмэгтэй хүн гудамжинд гудамжаар алхаж байна.
7636785060.jpg| 2| A guy , wearing a green shirt and white sunglasses , is peddling a tiny bicycle .|Ногоон цамц, цагаан өнгийн нарны шил зүүсэн залуу, цагаан нарны шил зүүж, жижигхэн унадаг дугуй унаж байна.
2868324804.jpg| 1| Three girls are running on a field in front of a fence .|Гурван охин хашааны өмнө талбай дээр гүйж байна.
4568884740.jpg| 4| A young girl in red is on a bungie jump ride .|Улаан өнгийн залуу охин Bungee Jump Ride дээр байна.
24947103.jpg| 2| A guy dress in a yellow polka dot bikini stands in front of a band playing music .|Шар полка Доттки бикинигийн даашинз өмссөн эмэгтэйн бикини хөгжим тоглож буй хамтлагийн урд зогсож байна.
2623346840.jpg| 1| A woman in a blue softball uniform with the number 10 on her back running home .|Гэртээ буцаж ирсэн 10 дугаартай цэнхэр софтболын дүрэмт хувцастай эмэгтэй.
283214657.jpg| 0| A man sitting on a pile of blankets with a man in suspenders standing in front of him facing away from the camera .|Камераас холдож байгаа эр хүнтэй зогсож байсан эр хүн овоолсон хүнтэй хамт сууж байв.
3429956016.jpg| 3| A man climbs up a sheer wall of ice .|Хүн мөсний хананд авирдаг.
4758571023.jpg| 3| Six men shielding their eyes from the sun|
481632457.jpg| 1| An adult Australian Shepherd follows behind a running Australian Shepherd puppy .|Насанд хүрэгчдийн австралич Хоньчин Австралийн хоньчны гөлөгний ард дагаж явдаг.
488437872.jpg| 1| A woman in a white sweater grabbing a man in the middle of a crowd .|Цагаан цамцанд байгаа эмэгтэй хүн олны дундуур хүнийг шүүрч авав.
4998936440.jpg| 2| A girl in a purple sweater mixes yellow paste in a bowl .|Нил ягаан өнгийн цамцтай охин шар айрагыг аяганд хийнэ.
2857372127.jpg| 3| A man wearing a gray hat stands with a woman wearing a red hat .|Саарал малгай өмссөн хүн улаан малгай өмссөн эмэгтэйтэй хамт зогсож байв.
370445133.jpg| 0| The cowboy is struggling to stay on the horse inside of the bullpen as he goes around the red , white , and blue barrel .|Ковбой улаан, цагаан, цэнхэр торхыг тойрон гарахдаа Булчингийн морь доторх морь дотор байхын тулд тэмцэж байна.
428506573.jpg| 2| Two men in medieval costumes have kites on strings in a town square .|Дундад зууны үеийн хоёр эрэгтэй хүн хотын квадратыг хотын талбайд мөрөнд байдаг.
7406123104.jpg| 4| A chef prepares food outdoors .|Тогооч хоолоо гадаа бэлддэг.
3429977605.jpg| 4| A man chopping something with a knife on a table .|Ширээн дээр хутга цавчихсан хүн.
2797490755.jpg| 1| A person with a camera holds the hand of a woman wearing a cap .|Камертай хүн малгай өмссөн эмэгтэйн гараа барьдаг.
2890057168.jpg| 0| The man in blue , woman in white , and child in blue stand before a silver car .|Цэнхэр, эмэгтэй цагаан, эмэгтэй хүн Мөнгөн машинаас өмнө цэнхэр зогсож байсан.
4612743950.jpg| 2| Two elderly ladies sharing lunch on a bench .|Хоёр настай бүсгүйчүүд вандан сандал дээр үдийн хоолоо хуваалцаж байна.
3730944181.jpg| 4| Americans go to a baseball game .|Америкчууд бейсболын тоглоом руу явдаг.
3202804141.jpg| 4| Africans are gathering around huts talking .|Африкчууд овоохойг ярилцаж байна.
241346215.jpg| 1| A mascot at a sporting event waves to the crowd .|Спортын үйл явдлын үеэр олон хүн олны дундуур давалгаа.
2191522758.jpg| 3| Two sisters on a country road chasing sheep .|Хонийг хөөх улс орны зам дээр хоёр эгч нар.
4886389665.jpg| 1| A town street is filled with people along with shops .|Хотын гудамж нь дэлгүүрүүдтэй хамт хүмүүсээр дүүрэн байдаг.
5572655622.jpg| 0| A crossing guard in a white hard hat , tan pants and black boots is directing traffic through the city .|Цагаан хатуу малгай, Тэн өмд, хар гутал, хар гутал нь хотын траффикийг хотоор чиглүүлж байна.
4647706823.jpg| 3| Mom and her son put together a wooden track for cars .|Ээж, түүний хүү нь машинд зориулж модон зам тавив.
484280924.jpg| 3| Chef making stir fry in a restaurant .|Тогооч ресторанд шарсан махыг хутгана.
6932687061.jpg| 0| Man wearing sneakers and a gray T-shirt sits on his haunches facing a drum set with electrical cord around him .|Хээлчин өмсөж буй хүн, саарал футболк нь түүний эргэн тойронд цахилгааны утастай бөмбөртэй саарал футболк өмсдөг.
4067575996.jpg| 0| People walking down the street in costumes , including one of a hospital gown that exposes the buttocks .|Ард түмэн, үүнд гартаа өмсдөг хуучин эмнэлгийн даашинзны нэг нь өгзөгийг илтгэдэг.
4890594204.jpg| 0| A man with a bandanna plays some homemade instruments in a crowded city .|Банданна хүнтэй нэг хүн хөл хөдөлгөөн ихтэй хотод гар хийцийн хэрэгслээр тоглодог.
4615085714.jpg| 3| A woman with her head down is in a very run down area .|Түүний толгойтой эмэгтэй хүн доошоо урсаж байна.
3613705104.jpg| 3| A skateboarder skates down stairs covered in graffiti .|Тэшүүрээр гулгах тэшүүрээр тэшүүрээр тэшүүрээр гулгадаг шатаар.
7504941054.jpg| 0| Two martial artists , one wearing mainly white and one wearing mainly black , fighting while a spectator with red-hair watches in the background .|Хоёр тулааны уран бүтээлч, нэг нь ихэвчлэн цагаан өнгөтэй, нэг нь хар, гол үстэй, тулалдаан өмсдөг.
3459492423.jpg| 0| A man in orange pants and a ponytail is free climbing a rock face .|Улбар шар өнгийн өмд, гэзэг, гэзэг нь рок нүүрэнд чөлөөтэй авирдаг.
3646927481.jpg| 1| a motorcyclist wearing a green shirt on a green bike jumping over a row of other green bikes .|Ногоон дугуй өмссөн ногоон дугуй өмссөн мотоцикльчууд ногоон дугуй өмссөн ногоон дугуй өмссөн ногоон дугуй өмссөн.
3202281074.jpg| 0| Two women are shopping for glassware outside a store .|Хоёр эмэгтэй дэлгүүрийн гадаа шилэн савыг худалдаж авдаг.
2508024651.jpg| 2| A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice .|TropicanA жүржийн жүржийн шүүсийг хар, цагаан полка цэгүүдээр хувцаслав.
314904143.jpg| 1| A young woman with a ponytail climbs a white stone structure .|Гэзэг бүхий залуу эмэгтэй цагаан чулуун бүтэцтэй авирдаг.
6804407509.jpg| 1| An asian man with a teal apron is using a knife to prepare food in a kitchen .|Талбортой ази хүн гал тогооны өрөөнд хоол бэлтгэхийн тулд хутга хэрэглэдэг.
2718184776.jpg| 2| Two men and a woman are having a conversation on the street .|Хоёр эрэгтэй, эмэгтэй хүн гудамжинд яриа өрнүүлж байна.
3615730936.jpg| 3| A rider on a dirt bike races through a forest .|Ойн дундуур шороон уралдааны морьтон.
542179694.jpg| 0| A firetruck stops and makes a call at a bridge , where a man and his dogs are running .|Гал түймэр зогсоод, эрэгтэй, түүний ноход гүйж байгаа гүүрэн дээр дуудлага хийдэг.
3319737840.jpg| 0| A young man in a white t-shirt sings into a microphone while others play musical instruments in the background .|Цагаан футболк өмссөн залуу микрофон дээр микрофон дуулдаг. Бусад хүмүүс арын дэвсгэр дээр хөгжмийн зэмсэг тоглодог.
7988239633.jpg| 1| Customers look at products during an open air market of fruit and vegetables .|Үйлчлүүлэгчид жимс, хүнсний ногооны нээлттэй агаарын зах зээлд бүтээгдэхүүн харагддаг.
3495349745.jpg| 4| A man helps a boy ride a bike .|Эрэгтэй хүн хөвгүү дугуй унахад тусалдаг.
493654365.jpg| 1| The four children are going incredibly fast on the merry-go-round .|Дөрвөн хүүхэд зугаатай замаар маш хурдан явагдаж байна.
3645809088.jpg| 4| A group of men play instruments on a stage .|Тайзан дээр эрэгтэйчүүдийн бүлэг хүмүүс тоглодог.
105335409.jpg| 2| A mass transit person making an announcement .|Зар сурталчилгааны транзит хүн мэдэгдэл хийж байна.
2949497756.jpg| 4| Two tan dogs smell each others faces .|Хоёр тан нохойнууд бие биенээ нүүр царайг үнэртэж байна.
77063034.jpg| 1| A little girl wearing a red coat is riding a unicorn and waving .|Улаан өнгийн цув өмссөн бяцхан охин нэг ширхэг, далан дээгүүр явж байна.
4785739399.jpg| 0| Three men travel through water on a motorized inflatable raft .|Гурван эр моторт хийлдэг салаа дээр усаар аялдаг.
4793876370.jpg| 0| Two children sit on the ground eating rice while looking up and smiling at the camera .|Хоёр хүүхэд газар дээр нь харж байхдаа будаа идэж, камераар инээмсэглэж байв.
3535304540.jpg| 4| A red airplane that has left behind a trail .|Мөрний ард үлдсэн улаан онгоц.
4634392868.jpg| 1| A group of people are being led in a dance by a man in traditional dress .|Бүлэг бүлэг хүмүүс уламжлалт даашинзтай эр хүн бүжиглэж байна.
3911874189.jpg| 4| Fresh vegetables at the produce market .|Үйлдвэрлэлийн зах зээл дээр шинэхэн ногоо.
6962167854.jpg| 0| Six women in what appears to be a roller derby match , with bleachers and onlookers in the background .|Зургаан эмэгтэй нугасны үзүүртэй, цайруулагч, цайруулагч, үзэгчдийг цайруулагч, үзэгчдээр дамжуулж байна.
4368362518.jpg| 2| A man playing the guitar for a small group of people .|Жижиг бүлэгт зориулж гитар тоглож байгаа хүн.
5823148675.jpg| 4| A musical trio performs in front of a crowd|Хөгжмийн гурвалжин нь олон түмний өмнө тоглодог
234374617.jpg| 3| A man on a cellphone sitting in the middle of a grassy field .|Өвсний талбайн дундуур гар утсан дээр сууж буй хүн.
4558172302.jpg| 1| Two people standing next to a road looking off a hill .|Толгодын хажууд зогсож байгаа хоёр хүн зогсож байв.
1304961697.jpg| 4| Two children on surfboards wave to each other .|Хоёр бие даасан онгоцон дээр хоёр хүүхэд бие биенээ долгион хийдэг.
6533409787.jpg| 3| Two women stand in a kitchen and wipe down trays|Хоёр эмэгтэй гал тогооны өрөөнд зогсож, тавиурыг арчина
2553131080.jpg| 0| A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs .|Гартай гартай гар нь ногоо, тахианы кабобуудтай хамт ногооны кабоб руу хүрч байна.
4518349470.jpg| 1| A family is having a good time washing a blue truck .|Гэр бүл нь цэнхэр ачааны машиныг угааж байна.
3634032601.jpg| 3| a large group of people doing varied activities .|олон тооны хүмүүс олон төрлийн үйл ажиллагаа хийдэг.
2064841667.jpg| 3| The little Asian girl has fun with party favors .|Бяцхан Азийн охин үдэшлэгт зугаацаж хөгжилтэй байдаг.
3446347599.jpg| 0| two men stand on a cliff top overlooking a sandy beach .|Элсэрхэг наран шарлагын газрыг үл тоомсорлож хоёр эр цохио дээр зогсож байв.
336579714.jpg| 0| A man with a wall of bookshelves behind him is gesturing toward an old antique-looking striped chair .|Түүний ард байгаа номын ханатай эр хүн хуучин эртний судалтай сандал руу чиглүүлдэг.
3328296271.jpg| 3| Workers with white t-shirts measure a wooden board .|Цагаан футболктай ажилчид модон самбарыг хэмждэг.
4546834565.jpg| 0| People try to make a point about how big companies do n't care about people and only car about money .|Хүмүүс хүмүүст мөнгө, зөвхөн мөнгөний талаар санаа тавьдаггүй хүмүүсийн талаар нэг цэг хийхийг хичээдэг.
4512530785.jpg| 1| People dressed up in festive costumes and holding hands .|Хүмүүс баярын хувцас өмсөж, гараа барьж байв.
22779916.jpg| 0| guest of a wedding sitting in bleachers near a pond .|Хуримын зочид цөөрмийн ойролцоох цайруулагч дээр сууж байв.
3378167937.jpg| 2| A photographer is taking a picture of a backpack with a Vespa logo on it .|Гэрэл зурагчин Vespa лого бүхий үүргэвчиндээ дүрсний зургийг авч байна.
4503611071.jpg| 4| A young boy riding a dirt bike on a ramp .|Залуу хүү нь налуу дээр шороон дугуй унаж байна.
2160230494.jpg| 2| Beautiful scene of a building in shadow with birds flying and a colorful sunset in the background .|Нисдэг, өнгөлөг нартай хамт сүүдэртэй байшингийн үзэсгэлэнт газар.
4612135887.jpg| 3| Children in jackets hopping across water on rocks .|Чулуу дээр ус дээгүүр алхаж буй хүрэмд хүүхдүүд.
2642772565.jpg| 1| A woman wearing socks with no shoes is standing at the open back door of her car .|Гуталгүй оймс өмссөн эмэгтэй нь түүний машины нээлттэй арын хаалган дээр зогсож байна.
386656845.jpg| 0| A little tan dog is in confrontation with a large black dog in the snow .|Бяцхан тан нохой цасанд том хар нохойтой зөрчилдөж байна.
7517274630.jpg| 2| A military section of a parade is marching with many different flags .|Парадны цэргийн хэсэг нь олон янзын тугтай хамт алхаж байна.
2449518585.jpg| 2| Girl swinging on a swing outside in a wooded area .|Охидууд гадаа модтой газар дүүжин дээр дүүжлэв.
1947351225.jpg| 3| A group of kids are at a birthday party .|Хүүхдүүдийн бүлэг төрсөн өдрийн үдэшлэгт байдаг.
3538315292.jpg| 4| Girls performing ballet on an outdoor stage .|Охидууд гаднах шатанд балет хийж байна.
81110653.jpg| 1| A young boy in a blue jacket and a young girl in a lavender jacket are walking down the sidewalk .|Бялуу цэнхэр хүрэм, залуу охин, Лаванденд хүрэмтэй залуу охин явган хүний зам дээр алхаж байна.
3314850981.jpg| 2| A man with a blue shirt and black pants walking outside of a store talking on a cellphone .|Цэнхэр цамц, хар өмдтэй хүн гар утсаар ярьж байна.
4865556239.jpg| 3| A woman with short hair and wearing a costume bra stands on the street .|Богино үстэй эмэгтэй, хувцас өмссөн хувцас өмссөн эмэгтэй гудамжинд зогсож байв.
4565706377.jpg| 1| A little girl in a purple shirt is raking leaves .|Нил ягаан цамцтай бяцхан охин навч түрхэж байна.
4833609984.jpg| 2| The person in white T-shirt is standing on the road .|Цагаан футболк дахь хүн зам дээр зогсож байна.
3407357681.jpg| 1| a dog sprints across the water .|Нохойн усан дээгүүр спринтс.
4450153946.jpg| 3| A young man about to throw a football .|Хөл бөмбөг хаях гэж залуу хүн.
4672366159.jpg| 2| A man in a restaurant being looked at through a window .|Ресторанд байгаа эр цонхоор харж байна.
5235384370.jpg| 2| Four people wearing snowshoes jumping on a snowy mountain with trees in the background .|
172923228.jpg| 1| A man is sitting along the beach playing a guitar .|Эр хүн гитар тоглож буй далайн эрэг дагуу сууж байна.
2301525531.jpg| 2| A black and white dog running in a snowy park .|Цастай цэцэрлэгт хүрээлэнд гүйж хар, цагаан нохой.
3758175529.jpg| 4| A blond boy slides into a green backyard pool .|Шаргал хүү ногоон арын арын усан сан руу слайдаг.
3587449716.jpg| 0| Three women in bright colors and headdresses are holding love message cards .|Хурц өнгөт өнгө, толгойн зураг дээр гурван эмэгтэй хайрын мессежийн картыг барьж байна.
2432061076.jpg| 1| The large brown and white dog splashes on the shore .|Шулуун хүрэн, цагаан нохой эрэг дээр цацдаг.
4820830153.jpg| 4| Vending machines and snacks are on display .|Худалдан авах машин, зууш нь дэлгэц дээр гарч ирдэг.
741227062.jpg| 4| A man at a construction site .|Барилгын газар дээр байгаа хүн.
3640417354.jpg| 2| A young girl in a red shirt swings face down on the swings .|Улаан цамц өмссөн залуу охин нь дүүжин дээр нүүрээ доошоо харав.
4896595765.jpg| 3| Two young boys eat McDonalds for lunch .|Хоёр залуу хүүг үдийн хоолонд зориулж mcdonalds иддэг.
3259757648.jpg| 1| a tan dog jumping over a goal net on a large grassy field|Том өвслөг талбай дээр гоолын торонд үсэрч буй тан нохой
7272406870.jpg| 3| A center field baseball player diving to make a catch .|Төв талбайн бейсболын тоглогчдыг барьж авахаар шумбах.
1491192153.jpg| 3| Heavyset man taking child out of swing set .|Хүнд жинтэй хүн хүүхдээ дүүжлэв.
79520936.jpg| 0| An elderly man and young boy are sitting on the ground , and playing with a train set .|Ахмад настнууд, залуу хүү газар дээр сууж, галт тэрэгний багцаар тоглож байна.
2426303900.jpg| 2| two young children under a blue and yellow umbrella .|
4874998625.jpg| 4| Workers at meat market share a meal .|Махны зах зээл дээр ажилчид хоолоо хуваалцдаг.
298920219.jpg| 0| The black dog is swimming in a lake with a white duck .|Хар нохой цагаан нугастай нууранд сэлж байна.
4719170123.jpg| 1| A fireman looks toward a building that has been evacuated as groups of the people look on .|Гал сөнөөгч нь хүмүүсийн бүлгийн бүлгийг нүүлгэн шилжүүлсэн барилгыг хардаг.
3340857141.jpg| 3| A small white dog and a large brown dog .|Жижиг цагаан нохой, том бор нохой.
3169016042.jpg| 0| A blond child pours water from a yellow cup while sitting in a bathtub full of water .|Шаргал үстэй хүүхэд усаар дүүрэн усанд сууж байхдаа шар аяганаас ус ууж байв.
4038718263.jpg| 0| There are two shadowy men standing along side a stream that runs through a paved courtyard in front of some stairs .|Шатны урд талын хучилттай хашаагаар гүйдэг хоёр сүүдэртэй эрчүүд байдаг.
2864575495.jpg| 3| Two cooks attend to the chicken grill at an outdoor barbecue .|ХОЁРДУГААР ХОЁРДУГААР ХУГАЦААНЫ ТҮҮХИЙГ ХҮРГЭЕ.
2646673527.jpg| 1| An older young boy and a middle-aged boy looking and laughing at a computer screen .|Хуучин залуу хүү, дунд насны хөвгүүн компьютерийн дэлгэц рүү инээлдэж, инээлддэг.
6950137939.jpg| 2| Two teams compete in a game of football and are hurrying to catch the ball midair .|Хоёр баг хөлбөмбөгийн тоглоомонд өрсөлдөж, бөмбөгийг барих гэж яарч байна.
2300229745.jpg| 0| A dog with floppy ears runs on the grass , a fence behind it .|Уян чихтэй нохой нь зүлгэн дээр ургадаг, ард нь хашгирдаг.
3546891929.jpg| 4| A man in a helmet holding a cellphone .|Гар утас барьж байгаа дуулга дахь хүн.
4419325681.jpg| 0| A person , surrounded by trash bags and wearing a conical shaped hat , is eating while sitting on purple and yellow colored steps .|Хогийн уутаар хүрээлэгдсэн хүн, конус хэлбэртэй малгай өмсөж, нил ягаан, шар өнгийн алхам дээр сууж байхдаа идэж байна.
2520892855.jpg| 0| People talk among themselves near an outside sitting area .|Хүмүүс гадаа сууж буй газруудынхаа дундын хооронд ярьдаг.
3859513880.jpg| 3| Multiple persons are swimming in a swimming pool .|Олон хүн усан санд сэлж байна.
3389448506.jpg| 0| A light colored dog with tongue hanging out of this mouth running on the grass .|Хөнгөн өнгөтэй нохой нь өвсөн дээр өлгөөтэй байдаг.
1457898867.jpg| 0| A young boy sit alone in a wagon and holds on tightly to two cattle as they follow his mother 's wagon down a dusty dirt road .|Залуу хүү ганцаараа вагонд суугаад, ээж нь тоос шороотой шороон замаар явж байхдаа хоёр үхэрт барьдаг.
3038755837.jpg| 2| A man is sitting on a bench that faces a body of water .|Эр хүн устай нүүр царайг нүүрэн дээр нь хардаг сандал дээр сууж байна.
3667781063.jpg| 1| Tourists enjoy a traditional boat ride in long paddle boat .|Жуулчид уламжлалт завьтай хамт урт сэлүүрт завиар явдаг.
5371109894.jpg| 2| A woman is carrying a large pot over her head along with a stack of hay placed on top of the pot .|Эмэгтэй хүн толгойных нь савны овоолго дээр том саванд хийжээ.
4755693778.jpg| 0| A baby in an orange t-shirt holds onto his stroller like a steering wheel .|Улбар шар өнгийн футболк өмссөн хүүхэд нь жолооны хүрдтэйгээ жолоо барьдаг.
2699733386.jpg| 3| A black dog wading through water .|Хар нохой усаар дамждаг.
3531474185.jpg| 0| A man is biking down the street while holding a ladder , off to the side , a man is carrying a large bucket and two sticks .|Эрэгтэй хүн гудамжинд явж байхдаа шатаар унаж байна, хажуу тийшээ явж байхдаа шатаар унаж байна, эр хүн том хувин, хоёр саваа авч явдаг.
4966813714.jpg| 1| Two people tend their vegetable stand on the sidewalk in front of an open doorway .|Хоёр хүн задгай хаалганы урд талын явган хүний зам дээр хүнсний ногооны зогсож байдаг.
2360194369.jpg| 1| A young boy in a red jacket stands on a pier with a fishing pole and chair near him .|Улаан хүрэмтэй залуу хүү нь түүний ойролцоо загас агнуурын шон, сандал дээр хөлөг онгоцон дээр зогсож байв.
183502317.jpg| 0| A man in an office boardroom is cutting slices of cake for everyone .|
219301555.jpg| 1| An extremely wet woman is wading in front of a waterfall .|Хэт нойтон эмэгтэй бол хүрхрээний өмнө урд нь дэмий юм.
2176229181.jpg| 4| People gather in an gymnasium for an assembly .|Хүмүүс угсралтын зааланд цуглардаг.
5502202358.jpg| 1| This man is doing a back jump off diving board .|Энэ хүн шумбах самбараас үсэрч байна.
4691655395.jpg| 1| Two dogs kind of unfriendly with their owners that are sitting down in front of a times realty sign .|Дахин удаа дахин сууж байгаа эзэдтэйгээ хамт хоёр нохойтойгоо үл тоомсорлодог.
2750912179.jpg| 1| Two girls in dresses are looking through a metal fence , and one girl is trying to climb the fence .|Хувцаслалт дахь хоёр охин металл хашаа руу харж, нэг охин хашаа авирахыг хичээдэг.
6324621970.jpg| 0| A soccer player dressed in white and blue kicks the ball while her teammates look on from the bench .|Цагаан, цэнхэр өнгийн хувцас өмссөн хөл бөмбөгийн тоглогч Бехэн баглаа боов нь багийн нөхөд нь вандан сандал дээрээс харж байв.
6200737945.jpg| 3| Girls team members gather in a group raising their hands .|Охидын багийн гишүүд гараа өсгөсөн бүлэгт цуглардаг.
4963810508.jpg| 4| Young child wearing religious outfit .|Шашны хувцас өмссөн залуу хүүхэд.
3379314077.jpg| 3| Horse and man standing on a dirt trail .|Морь, эр хүн шороон зам дээр зогсож байв.
2907904426.jpg| 2| Some people are applying for something .|Зарим хүмүүс ямар нэгэн зүйлд өргөдөл гаргаж байна.
3066338314.jpg| 4| A man sits at a table .|Нэгэн эр ширээн дээр сууж байна.
4260087651.jpg| 4| A young man playing cricket on a field .|Нэгэн залуу талбай дээр крикет тоглож байна.
302289651.jpg| 3| A man eating and holding a baby with a white hat on .|Эрэгтэй хүүхэд идэж, цагаан малгайтай хүүхэдтэй хамт хооллодог.
7168425380.jpg| 4| A young boy getting ready for a day of fishing .|Залуу хүү загас барихад бэлэн боллоо.
2042058437.jpg| 3| Many Asian people are in a parade while two children watch .|Хоёр хүүхдийн цаг үед олон азийн хүмүүс парад байдаг.
2976946039.jpg| 0| People surfing and attempting to surf in the ocean on a big wave .|Хүмүүс том давалгаанд далайд гарахыг хичээдэг.
158484558.jpg| 1| A man and a woman stopped on the sidewalk looking at something with their eyes big and wide .|
4810804391.jpg| 2| A woman lying in a grassy field taking a photo with her camera .|Хүлээж байгаа эмэгтэй камертай хамт зурагтай хамт зураг авч байна.
2531074685.jpg| 3| A man working on his art in a public setting .|Олон нийтийн газар урлагийн бүтээл дээр ажиллаж байсан хүн.
2902486045.jpg| 0| Two dogs are urinating on the red fire hydrant .|Хоёр нохой нь улаан галын цорго дээр шээс ялгаруулдаг.
2240975290.jpg| 0| There are five children playing soccer , two from the red team , three from the white .|Таван хүүхэд хөл бөмбөг тоглож, улаан багаас хоёр, гурван хүн, цагаан.
1029737941.jpg| 0| Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .|Браун хүрэн цамцтай хөвгүүнтэй цамцтай хөлтэй.
